t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
1306232,0.3148,-0.0807,0.9138,0.0,0.5004,0.0,0.1797
1306248,0.3046,-0.0802,0.9217,0.0,0.5077,0.0,0.1797
1306265,0.2984,-0.0703,0.9239,0.0,0.5093,0.0,0.1837
1306281,0.3034,-0.0711,0.9212,0.0,0.502,0.0,0.1869
1306297,0.3086,-0.0748,0.9178,0.0,0.5093,0.0,0.1829
1306314,0.3144,-0.073,0.917,0.0,0.5085,0.0,0.1821
1306330,0.3067,-0.0766,0.916,0.0,0.5117,0.0,0.1789
1306347,0.3034,-0.0784,0.9195,0.0,0.5141,0.0,0.1861
1306363,0.3048,-0.0755,0.922,0.0,0.5133,0.0,0.1845
1306379,0.3094,-0.0709,0.9211,0.0,0.5093,0.0,0.1829
1306396,0.31,-0.0723,0.9182,0.0,0.5085,0.0,0.1845
1306412,0.3089,-0.0748,0.9184,0.0,0.5093,0.0,0.1813
1306428,0.3067,-0.0741,0.9187,0.0,0.5109,0.0,0.1789
1306445,0.3076,-0.0744,0.9201,0.0,0.5117,0.0,0.1797
1306461,0.3108,-0.0773,0.9203,0.0,0.5117,0.0,0.1845
1306478,0.3118,-0.0744,0.9181,0.0,0.5101,0.0,0.1829
1306494,0.3064,-0.0737,0.9183,0.0,0.5101,0.0,0.1837
1306511,0.3044,-0.0767,0.9187,0.0,0.5093,0.0,0.1789
1306527,0.3066,-0.0755,0.9168,0.0,0.5133,0.0,0.1821
1306544,0.3068,-0.073,0.9174,0.0,0.5117,0.0,0.1829
1306560,0.3084,-0.0737,0.9167,0.0,0.5117,0.0,0.1829
1306577,0.3039,-0.0749,0.9191,0.0,0.5101,0.0,0.1829
1306593,0.3042,-0.0727,0.9188,0.0,0.5085,0.0,0.1789
1306609,0.306,-0.0747,0.9207,0.0,0.5053,0.0,0.1813
1306626,0.309,-0.0742,0.9197,0.0,0.5117,0.0,0.1821
1306642,0.3086,-0.0722,0.9214,0.0,0.5149,0.0,0.1821
1306659,0.312,-0.0721,0.9206,0.0,0.5101,0.0,0.1837
1306675,0.3106,-0.0719,0.9161,0.0,0.5117,0.0,0.1837
1306691,0.3047,-0.0764,0.9155,0.0,0.5093,0.0,0.1821
1306708,0.3095,-0.0755,0.9159,0.0,0.5101,0.0,0.1797
1306724,0.308,-0.0778,0.9182,0.0,0.5133,0.0,0.1837
1306741,0.307,-0.0757,0.9194,0.0,0.5117,0.0,0.1837
