t_ms,ax,ay,az,emg_env,emg_raw
1292201,0.12393,-0.14201,0.95264,0.0,0.0628
1292217,0.12069,-0.13998,0.95609,0.0,0.5987
1292233,0.11833,-0.13527,0.95741,0.3457,0.7929
1292250,0.1193,-0.1363,0.95623,0.4021,0.444
1292266,0.12067,-0.13959,0.95446,0.0,0.0306
1292282,0.11842,-0.13763,0.95779,0.0,0.0
1292298,0.1192,-0.14026,0.95746,0.0,0.523
1292314,0.12198,-0.14033,0.9549,0.2877,0.7905
1292330,0.11934,-0.14178,0.95493,0.3956,0.519
1292346,0.11781,-0.13885,0.95678,0.1136,0.0854
1292362,0.11697,-0.14142,0.95685,0.0,0.0
1292379,0.11773,-0.14173,0.95705,0.0,0.3707
1292395,0.12238,-0.14565,0.95443,0.199,0.7583
1292411,0.1217,-0.14544,0.95559,0.4199,0.6391
1292427,0.11724,-0.13704,0.95738,0.2909,0.1974
1292443,0.11692,-0.13195,0.95908,0.0,0.0
1292460,0.12117,-0.13835,0.95679,0.0,0.2885
1292476,0.12061,-0.13966,0.95653,0.1821,0.7446
1292492,0.11833,-0.13669,0.95705,0.4085,0.7051
1292508,0.11944,-0.14019,0.95539,0.3586,0.274
1292524,0.12112,-0.14214,0.95445,0.0,0.0
1292540,0.1181,-0.13804,0.95678,0.0,0.1958
1292556,0.12013,-0.1363,0.95541,0.0967,0.6906
1292572,0.12223,-0.13729,0.95454,0.4021,0.7567
1292588,0.11873,-0.13765,0.95687,0.3892,0.3441
1292605,0.12025,-0.13442,0.95931,0.0,0.0073
1292621,0.11945,-0.13022,0.95867,0.0,0.0967
1292637,0.11933,-0.13411,0.95499,0.0097,0.6164
1292653,0.11894,-0.13744,0.95609,0.3674,0.7929
1292669,0.11939,-0.13585,0.95723,0.3964,0.3989
1292685,0.11938,-0.13363,0.95676,0.0,0.025
1292701,0.12156,-0.13224,0.95605,0.0,0.0
1292717,0.12003,-0.13554,0.95827,0.0,0.5528
1292734,0.12153,-0.13291,0.95704,0.3094,0.7937
1292750,0.11979,-0.13399,0.95702,0.3956,0.4763
1292766,0.11882,-0.13631,0.95671,0.05,0.062
1292782,0.12031,-0.14175,0.95536,0.0,0.0
1292798,0.11984,-0.14095,0.95652,0.0,0.4634
1292814,0.12147,-0.13474,0.95618,0.2426,0.7841
1292830,0.12152,-0.13203,0.95556,0.4215,0.5391
1292846,0.11945,-0.13559,0.95556,0.2289,0.1402
1292862,0.11886,-0.13387,0.95687,0.0,0.0
1292878,0.11916,-0.13059,0.95754,0.0,0.4618
1292894,0.12087,-0.13326,0.95702,0.2506,0.7833
1292910,0.12079,-0.1363,0.9552,0.3956,0.5745
1292926,0.1211,-0.13692,0.95673,0.216,0.1354
1292942,0.12,-0.13159,0.95946,0.0,0.0
1292959,0.11962,-0.13488,0.95652,0.0,0.3779
1292975,0.12006,-0.13358,0.95668,0.2006,0.768
1292991,0.1212,-0.13337,0.95609,0.4101,0.6407
1293007,0.12371,-0.12963,0.95578,0.2982,0.1966
1293023,0.11961,-0.13037,0.95694,0.0,0.0
1293039,0.11911,-0.13115,0.95631,0.0,0.2917
1293055,0.11749,-0.13462,0.95764,0.1805,0.7502
1293071,0.11984,-0.14069,0.95564,0.394,0.7003
1293087,0.12178,-0.14069,0.95479,0.3731,0.2732
1293103,0.11972,-0.14183,0.95549,0.0,0.0
