t_ms,ax,ay,az,emg_env,emg_raw
1349502,0.14427,-0.18091,0.94788,0.2208,0.3827
1349518,0.147,-0.1825,0.94579,0.4174,0.3336
1349534,0.14843,-0.18915,0.94531,0.2571,0.166
1349550,0.15145,-0.19181,0.94177,0.0,0.0
1349566,0.15073,-0.18379,0.94226,0.0,0.1458
1349582,0.14837,-0.18132,0.94445,0.1926,0.3707
1349598,0.14745,-0.17898,0.94613,0.4271,0.3924
1349615,0.1473,-0.1868,0.94375,0.3344,0.199
1349631,0.15105,-0.1876,0.94213,0.0,0.0024
1349646,0.14887,-0.18012,0.94484,0.0,0.1474
1349662,0.14007,-0.16342,0.92507,0.1861,0.365
1349678,0.14569,-0.15569,0.92926,0.4271,0.3578
1349695,0.14022,-0.15634,0.88953,0.3296,0.199
1349711,0.15969,-0.19699,0.96489,0.0,0.004
1349726,0.13763,-0.16492,0.93071,0.0,0.141
1349742,0.1525,-0.21273,0.95067,0.1837,0.365
1349758,0.13911,-0.19164,0.95301,0.4199,0.3602
1349775,0.15224,-0.18904,0.94459,0.3425,0.2006
1349791,0.14778,-0.18638,0.94138,0.0,0.0073
1349807,0.14713,-0.18298,0.94231,0.0,0.1072
1349823,0.14597,-0.17646,0.94606,0.0927,0.3312
1349839,0.14368,-0.18106,0.94613,0.3989,0.39
1349855,0.14806,-0.18761,0.9415,0.3827,0.2482
1349871,0.15436,-0.19498,0.93946,0.0,0.0346
1349887,0.15078,-0.18767,0.94125,0.0,0.0588
1349904,0.1465,-0.18088,0.94481,0.0322,0.2941
1349920,0.14525,-0.18693,0.94748,0.3763,0.4045
1349936,0.14835,-0.18198,0.94207,0.394,0.2579
1349952,0.14677,-0.18246,0.93934,0.0,0.0556
1349968,0.14939,-0.18885,0.94955,0.0,0.0024
1349984,0.14886,-0.18217,0.92847,0.0,0.2546
1350000,0.14331,-0.19837,0.94475,0.3328,0.4182
1350016,0.14273,-0.19992,0.95785,0.3964,0.2909
1350033,0.1455,-0.18195,0.93999,0.0475,0.0862
