t_ms,ax,ay,az,emg_env,emg_raw
161811,-0.1259,0.0783,0.9668,0.0,0.1531
161828,-0.1268,0.0792,0.9659,0.0,0.0
161844,-0.1265,0.0784,0.9651,0.0,0.0975
161860,-0.1259,0.0786,0.9617,0.0,0.5206
161876,-0.1244,0.0792,0.9566,0.0,0.6246
161892,-0.1263,0.0844,0.967,0.0,0.2232
161908,-0.1346,0.0898,1.0143,0.0,0.0
161924,-0.1252,0.062,0.9604,0.0,0.0604
161940,-0.124,0.0724,0.956,0.0,0.5133
161956,-0.1289,0.0768,0.9798,0.0,0.6374
161973,-0.1277,0.0624,0.97,0.0,0.2522
161989,-0.126,0.0629,0.9567,0.0,0.0218
162005,-0.1266,0.0632,0.9578,0.0,0.0
162021,-0.1284,0.0731,0.955,0.0,0.4561
162037,-0.1298,0.0676,0.9623,0.0,0.6568
162053,-0.1456,0.0959,0.9395,0.0,0.3666
162070,-0.1275,0.0875,0.9456,0.0,0.0588
162086,-0.1458,0.0812,0.9661,0.0,0.0
162102,-0.1265,0.1185,0.9237,0.0,0.3972
162118,-0.1398,0.1083,0.932,0.0,0.6576
162134,-0.1029,-0.0029,0.9922,0.0,0.5069
162150,-0.1177,0.0717,0.9988,0.0,0.0943
162167,-0.1231,0.0631,0.9434,0.0,0.0
162183,-0.1231,0.0704,0.9535,0.0,0.3094
162199,-0.1293,0.0882,0.9457,0.0,0.5568
162216,-0.1261,0.0803,0.9613,0.0,0.6415
162232,-0.1277,0.0821,0.9653,0.0,0.1644
162248,-0.1272,0.0798,0.9623,0.0,0.0
162264,-0.1268,0.0784,0.965,0.0,0.0862
162280,-0.1256,0.0767,0.9667,0.0,0.5447
162297,-0.1266,0.0794,0.9638,0.0,0.6503
162313,-0.126,0.0783,0.9668,0.0,0.2442
162329,-0.127,0.0789,0.9663,0.0,0.0169
162345,-0.1259,0.0796,0.9614,0.0,0.0
162361,-0.1256,0.0776,0.9655,0.0,0.4763
162377,-0.1273,0.0797,0.9675,0.0,0.6447
162394,-0.1255,0.0774,0.9648,0.0,0.3537
162410,-0.1236,0.0617,0.9555,0.0,0.0491
162426,-0.1247,0.0754,0.9586,0.0,0.0
162442,-0.1262,0.0754,0.9549,0.0,0.3723
162458,-0.1226,0.0783,0.9573,0.0,0.5891
162474,-0.1217,0.0842,0.9693,0.0,0.4336
162491,-0.1355,0.0715,1.0119,0.0,0.0798
162507,-0.1349,0.0736,0.9662,0.0,0.0
162523,-0.1206,0.0753,0.9595,0.0,0.2619
162539,-0.1247,0.0838,0.9571,0.0,0.5101
162555,-0.125,0.077,0.957,0.0,0.4537
162571,-0.1323,0.0709,0.9626,0.0,0.083
162587,-0.1272,0.0855,0.96,0.0,0.0
162603,-0.1264,0.0775,0.9716,0.0,0.2281
162619,-0.1236,0.0713,0.9739,0.0,0.4746
162636,-0.1302,0.0775,0.9646,0.0,0.444
162652,-0.1279,0.0855,0.9691,0.0,0.1128
162668,-0.1342,0.0234,0.8664,0.0,0.0
162684,-0.1205,0.1302,0.9751,0.0,0.1152
162700,-0.1144,0.0674,0.9818,0.0,0.4069
162716,-0.1325,0.0995,0.9755,0.0,0.4223
162732,-0.1239,0.0434,0.9868,0.0,0.1265
162748,-0.1246,0.0741,0.9555,0.0,0.0097
162764,-0.1305,0.0706,0.9783,0.0,0.0717
162781,-0.1226,0.0561,0.9466,0.0,0.3433
162797,-0.1308,0.1375,1.0707,0.0,0.4199
162813,-0.1119,0.0197,0.8991,0.0,0.1845
162829,-0.136,0.0885,0.973,0.0,0.0226
162845,-0.1238,0.0846,0.9532,0.0,0.0073
162861,-0.1308,0.0979,0.9748,0.0,0.3296
162877,-0.1224,0.0773,0.9685,0.0,0.4311
162893,-0.1288,0.0754,0.9664,0.0,0.2054
162909,-0.1279,0.0831,0.9657,0.0,0.0363
162926,-0.1297,0.0799,0.9716,0.0,0.0
162942,-0.1301,0.1371,1.0734,0.0,0.2812
162958,-0.1315,0.1645,1.065,0.0,0.4344
162974,-0.1215,0.1404,1.0488,0.0,0.2998
162990,-0.1147,0.1176,0.9935,0.0,0.0661
163006,-0.127,0.0342,0.9444,0.0,0.0
163022,-0.1288,0.081,0.9703,0.0,0.2764
163038,-0.116,0.0765,0.9776,0.0,0.4569
163054,-0.1268,0.0886,0.9346,0.0,0.3409
163071,-0.1246,0.0844,0.9633,0.0,0.0725
163087,-0.1427,0.0792,0.9504,0.0,0.0
163103,-0.125,0.1013,0.9394,0.0,0.216
163119,-0.139,0.0774,0.8754,0.0,0.4577
163135,-0.1237,0.0572,0.9317,0.0,0.4295
163151,-0.1277,0.0624,0.9732,0.0,0.112
163168,-0.1243,0.0738,0.9739,0.0,0.0
163184,-0.127,0.0811,0.9698,0.0,0.1289
163200,-0.1255,0.0756,0.9612,0.0,0.4497
163216,-0.126,0.0766,0.9618,0.0,0.5085
163232,-0.1269,0.0788,0.96,0.0,0.1636
163248,-0.1313,0.0757,1.0006,0.0,0.0073
163265,-0.1186,0.0723,0.9584,0.0,0.0145
163281,-0.1275,0.0316,0.9177,0.0,0.4344
163297,-0.117,0.0211,0.9045,0.0,0.5794
163313,-0.1344,0.032,0.9343,0.0,0.2691
163329,-0.1236,0.08,0.9496,0.0,0.033
163345,-0.1264,0.0819,0.9826,0.0,0.0
163361,-0.1293,0.0777,0.955,0.0,0.4553
163377,-0.1259,0.0789,0.9661,0.0,0.6229
163393,-0.1306,0.0802,0.9728,0.0,0.3255
163410,-0.129,0.0749,0.9642,0.0,0.0467
163426,-0.1243,0.0785,0.9654,0.0,0.0
163442,-0.1217,0.0765,0.961,0.0,0.3989
163458,-0.1271,0.0798,0.9629,0.0,0.6527
163474,-0.1248,0.0762,0.9649,0.0,0.4827
163490,-0.1282,0.0786,0.9669,0.0,0.0572
163506,-0.127,0.078,0.9646,0.0,0.0
163522,-0.1273,0.0792,0.9639,0.0,0.2554
163540,-0.1224,0.0766,0.9643,0.0,0.6116
163556,-0.127,0.0803,0.9647,0.0,0.627
163572,-0.1244,0.0778,0.9641,0.0,0.17
163588,-0.125,0.0773,0.9643,0.0,0.0
163604,-0.1277,0.0784,0.965,0.0,0.0943
163620,-0.127,0.0776,0.9618,0.0,0.5737
163637,-0.1251,0.0784,0.9637,0.0,0.6826
163653,-0.1269,0.078,0.9645,0.0,0.2554
163669,-0.126,0.0773,0.9647,0.0,0.0201
163685,-0.1248,0.0791,0.9652,0.0,0.0
163701,-0.1249,0.0773,0.9649,0.0,0.5391
163717,-0.1281,0.0825,0.9687,0.0,0.7325
163734,-0.1256,0.0694,0.9583,0.0,0.394
163750,-0.1267,0.0829,0.9596,0.0,0.0475
