t_ms,ax,ay,az,emg_env,emg_raw
9841,-0.1247,0.0753,0.9588,0.0,0.4626
9856,-0.1255,0.082,0.976,0.0,0.0709
9873,-0.1238,0.0895,0.9571,0.0,0.0
9889,-0.1216,0.0662,0.9639,0.0,0.2812
9905,-0.127,0.0804,0.9745,0.0,0.5318
9921,-0.1254,0.0793,0.9602,0.0,0.4763
9937,-0.1251,0.0773,0.9669,0.0,0.1023
9953,-0.1257,0.0739,0.9661,0.0,0.0
9969,-0.1267,0.0759,0.9617,0.0,0.1652
9986,-0.1262,0.0792,0.9627,0.0,0.5004
10002,-0.1252,0.0771,0.9686,0.0,0.5254
10018,-0.1246,0.0783,0.9678,0.0,0.17
10034,-0.1254,0.0819,0.9687,0.0,0.004
10050,-0.1262,0.0808,0.9621,0.0,0.0572
10067,-0.1261,0.0777,0.969,0.0,0.4601
10083,-0.1262,0.0772,0.9641,0.0,0.5568
10098,-0.1253,0.0786,0.9654,0.0,0.195
10114,-0.1265,0.079,0.9637,0.0,0.0129
10131,-0.1259,0.0796,0.9639,0.0,0.033
10147,-0.1247,0.0793,0.9651,0.0,0.4497
10163,-0.1264,0.0794,0.9648,0.0,0.5665
10179,-0.1258,0.0775,0.9644,0.0,0.3086
10195,-0.1251,0.0784,0.964,0.0,0.0379
10212,-0.1253,0.0789,0.9651,0.0,0.0
10228,-0.1252,0.0782,0.9641,0.0,0.3972
10243,-0.1258,0.0782,0.9667,0.0,0.5762
10259,-0.1258,0.0774,0.9645,0.0,0.3505
10276,-0.1242,0.0796,0.9636,0.0,0.0419
10292,-0.1265,0.0786,0.9656,0.0,0.0
10308,-0.1254,0.0793,0.965,0.0,0.3803
10324,-0.1254,0.0784,0.9654,0.0,0.5745
10340,-0.1257,0.0794,0.9646,0.0,0.4368
10357,-0.126,0.0786,0.9645,0.0,0.0765
10373,-0.1251,0.0783,0.9633,0.0,0.0
10389,-0.1255,0.0778,0.9635,0.0,0.2893
10405,-0.1254,0.0776,0.9625,0.0,0.5528
10421,-0.1252,0.0784,0.9634,0.0,0.4891
10437,-0.1262,0.0789,0.9644,0.0,0.1104
10454,-0.1258,0.0779,0.9649,0.0,0.0
10470,-0.1247,0.0776,0.9635,0.0,0.1636
10485,-0.1249,0.0793,0.9654,0.0,0.5415
10501,-0.1257,0.0788,0.9659,0.0,0.5101
10519,-0.1264,0.078,0.965,0.0,0.2232
10535,-0.125,0.0791,0.9637,0.0,0.0193
10551,-0.1251,0.0792,0.9653,0.0,0.0
10567,-0.1257,0.0783,0.9665,0.0,0.4424
10583,-0.1264,0.0787,0.9657,0.0,0.5826
10600,-0.1259,0.0779,0.9644,0.0,0.3441
10616,-0.1261,0.0791,0.9648,0.0,0.0443
10632,-0.1259,0.0783,0.9649,0.0,0.0
10648,-0.1265,0.079,0.9636,0.0,0.3811
10664,-0.1252,0.0794,0.9664,0.0,0.5729
10681,-0.1257,0.0794,0.9636,0.0,0.436
10697,-0.1255,0.0783,0.9681,0.0,0.0725
10713,-0.1227,0.0785,0.9633,0.0,0.0
10729,-0.1272,0.0654,0.9975,0.0,0.2925
10745,-0.1293,0.0609,0.9717,0.0,0.5512
10761,-0.1248,0.0917,0.9693,0.0,0.4972
10778,-0.1245,0.0718,0.954,0.0,0.112
10794,-0.1272,0.0725,0.9672,0.0,0.0
10810,-0.1284,0.0808,0.9666,0.0,0.1708
10826,-0.125,0.073,0.9612,0.0,0.5222
10842,-0.1257,0.0772,0.9631,0.0,0.5496
10858,-0.1245,0.077,0.9632,0.0,0.1716
10875,-0.1242,0.0809,0.9679,0.0,0.004
10891,-0.1258,0.077,0.9674,0.0,0.058
10907,-0.1235,0.0766,0.9614,0.0,0.473
10923,-0.1275,0.0757,0.9746,0.0,0.5737
10939,-0.1286,0.0722,0.9846,0.0,0.278
10955,-0.1254,0.0825,0.9751,0.0,0.025
10972,-0.1255,0.0845,0.9712,0.0,0.0
10988,-0.1298,0.0905,0.9824,0.0,0.4279
11004,-0.1253,0.082,0.9654,0.0,0.5826
11020,-0.1254,0.0762,0.963,0.0,0.3844
11036,-0.1254,0.0787,0.9653,0.0,0.0572
11053,-0.1263,0.0783,0.9642,0.0,0.0
11069,-0.1255,0.0783,0.9659,0.0,0.3521
11085,-0.1257,0.08,0.9661,0.0,0.5649
11101,-0.1259,0.079,0.9677,0.0,0.4513
11117,-0.1262,0.0767,0.9659,0.0,0.0814
11133,-0.126,0.0784,0.9642,0.0,0.0
11149,-0.1207,0.0825,0.9384,0.0,0.2506
11166,-0.1236,0.0759,0.9557,0.0,0.5399
11182,-0.125,0.0793,0.962,0.0,0.5053
11198,-0.1258,0.0789,0.9636,0.0,0.1241
11214,-0.1269,0.0778,0.9696,0.0,0.0
11230,-0.1262,0.0766,0.9774,0.0,0.1281
11247,-0.1279,0.0817,0.9765,0.0,0.5061
11263,-0.1265,0.0811,0.9632,0.0,0.5504
11278,-0.1267,0.0811,0.9733,0.0,0.1442
11294,-0.1297,0.0827,0.983,0.0,0.0
11311,-0.1306,0.0818,0.9859,0.0,0.0975
11327,-0.1192,0.0761,0.9298,0.0,0.494
11343,-0.1281,0.0826,0.9745,0.0,0.5649
11359,-0.1249,0.0786,0.9606,0.0,0.2361
11375,-0.1252,0.0786,0.9629,0.0,0.0201
11392,-0.1262,0.0787,0.9669,0.0,0.0048
11408,-0.1263,0.0787,0.9641,0.0,0.4424
11423,-0.1255,0.0788,0.9642,0.0,0.5794
11439,-0.1261,0.0775,0.9649,0.0,0.2683
11456,-0.1253,0.0785,0.9657,0.0,0.0298
11472,-0.1259,0.079,0.9652,0.0,0.0
11488,-0.125,0.0789,0.9642,0.0,0.4279
11504,-0.125,0.0785,0.9642,0.0,0.5891
11520,-0.1258,0.0783,0.966,0.0,0.3916
11537,-0.1258,0.0778,0.9652,0.0,0.0596
11553,-0.1247,0.0786,0.9628,0.0,0.0
11569,-0.126,0.0792,0.9661,0.0,0.3666
11585,-0.126,0.0786,0.9663,0.0,0.5907
11601,-0.1256,0.0786,0.9639,0.0,0.4803
11617,-0.1264,0.0787,0.9644,0.0,0.0894
11634,-0.1245,0.0785,0.9636,0.0,0.0
11650,-0.1256,0.0788,0.9641,0.0,0.253
