t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
12926,0.1713,-0.0132,0.9533,0.0,0.6011,0.0,0.2248
12942,0.1707,-0.0137,0.9597,0.0,0.5343,0.0,0.1611
12959,0.1694,-0.0162,0.9568,0.0,0.4891,0.0,0.1088
12975,0.1691,-0.0153,0.9539,0.0,0.5415,0.0,0.1281
12991,0.1663,-0.0107,0.961,0.0,0.6148,0.0,0.1893
13008,0.1676,-0.009,0.954,0.0,0.6479,0.0,0.2401
13026,0.1605,-0.0089,0.9539,0.0,0.6148,0.0,0.2216
13042,0.1658,-0.0136,0.9687,0.0,0.5343,0.0,0.1547
13058,0.1672,-0.0141,0.9509,0.0,0.4924,0.0,0.1072
13075,0.169,-0.009,0.9599,0.0,0.5472,0.0,0.1345
13091,0.1557,-0.0036,0.9672,0.0,0.6181,0.0,0.1926
13108,0.1548,-0.0139,0.9655,0.0,0.6487,0.0,0.2353
13124,0.1571,-0.0094,0.9642,0.0,0.5882,0.0,0.203
13141,0.169,-0.0083,0.9571,0.0,0.5061,0.0,0.1313
13157,0.1615,-0.0056,0.9694,0.0,0.5101,0.0,0.1096
13173,0.1671,-0.0138,0.9493,0.0,0.5882,0.0,0.1636
13190,0.1821,-0.0162,0.9578,0.0,0.6431,0.0,0.2208
13206,0.1832,-0.0303,0.9514,0.0,0.6302,0.0,0.2305
13222,0.1738,-0.0207,0.9599,0.0,0.5455,0.0,0.166
13239,0.1747,-0.0105,0.958,0.0,0.4988,0.0,0.1136
13255,0.162,-0.0107,0.9533,0.0,0.5383,0.0,0.1241
13272,0.1713,-0.008,0.9575,0.0,0.6246,0.0,0.1869
13288,0.1791,-0.024,0.9579,0.0,0.6503,0.0,0.2361
13305,0.1707,-0.0169,0.9536,0.0,0.6036,0.0,0.2168
13321,0.1681,0.0007,0.9561,0.0,0.5109,0.0,0.1386
13338,0.1668,-0.0099,0.9558,0.0,0.4988,0.0,0.1015
13354,0.1668,-0.0086,0.9576,0.0,0.5721,0.0,0.1458
13371,0.1578,-0.0166,0.9624,0.0,0.6391,0.0,0.2119
13387,0.1672,-0.0092,0.9601,0.0,0.6471,0.0,0.2409
13404,0.1591,-0.0073,0.9574,0.0,0.5729,0.0,0.1893
13420,0.1568,-0.009,0.9659,0.0,0.4996,0.0,0.1217
13436,0.1548,-0.0129,0.9643,0.0,0.5149,0.0,0.1096
13453,0.1637,-0.003,0.9645,0.0,0.5923,0.0,0.1692
13469,0.1512,-0.0101,0.9604,0.0,0.6495,0.0,0.2248
13486,0.1485,-0.0059,0.964,0.0,0.6262,0.0,0.2273
13502,0.1556,-0.0133,0.9579,0.0,0.5262,0.0,0.1515
13518,0.1593,-0.0205,0.9624,0.0,0.4948,0.0,0.0999
13535,0.1781,-0.0198,0.9509,0.0,0.5617,0.0,0.1354
13551,0.1729,-0.0158,0.9487,0.0,0.631,0.0,0.1998
13567,0.1697,-0.011,0.9565,0.0,0.6495,0.0,0.2401
13584,0.1656,-0.013,0.9585,0.0,0.5818,0.0,0.1934
13600,0.1713,-0.0191,0.9607,0.0,0.5028,0.0,0.1233
13617,0.1823,-0.025,0.953,0.0,0.5101,0.0,0.1104
13633,0.1759,-0.0154,0.9452,0.0,0.6019,0.0,0.1716
13649,0.17,-0.0113,0.9458,0.0,0.6519,0.0,0.2281
13666,0.1754,-0.0246,0.9562,0.0,0.6148,0.0,0.2232
13682,0.1787,-0.0233,0.9452,0.0,0.5351,0.0,0.1523
13698,0.1823,-0.0196,0.9369,0.0,0.4924,0.0,0.112
13715,0.1778,-0.0193,0.9529,0.0,0.552,0.0,0.1329
13731,0.1678,-0.0103,0.9607,0.0,0.6278,0.0,0.1974
13748,0.1567,-0.009,0.957,0.0,0.6511,0.0,0.2369
13764,0.1587,-0.0129,0.9656,0.0,0.5745,0.0,0.1885
13780,0.1562,-0.01,0.9629,0.0,0.5004,0.0,0.1257
13797,0.1547,-0.0138,0.9617,0.0,0.5125,0.0,0.112
13813,0.1381,0.0046,0.966,0.0,0.5971,0.0,0.1668
13829,0.1326,0.0216,0.9757,0.0,0.6487,0.0,0.2248
13846,0.1308,-0.0066,0.9578,0.0,0.6246,0.0,0.2273
13862,0.1453,-0.0039,0.9701,0.0,0.5463,0.0,0.1652
13879,0.122,-0.017,0.9635,0.0,0.494,0.0,0.1104
13895,0.1521,-0.0105,0.9544,0.0,0.5335,0.0,0.1289
13912,0.1546,-0.0237,0.9566,0.0,0.6181,0.0,0.1861
13928,0.1718,-0.013,0.9482,0.0,0.6374,0.0,0.2289
13945,0.1651,-0.0107,0.9549,0.0,0.5963,0.0,0.2136
13961,0.1713,-0.0196,0.958,0.0,0.5093,0.0,0.1345
13978,0.1782,-0.0153,0.9486,0.0,0.498,0.0,0.1007
13994,0.1761,-0.0131,0.9456,0.0,0.5665,0.0,0.1458
14010,0.1741,-0.0113,0.956,0.0,0.6358,0.0,0.2168
14027,0.1635,-0.0095,0.9584,0.0,0.6366,0.0,0.2313
14043,0.1717,-0.0009,0.9663,0.0,0.5641,0.0,0.1861
14060,0.1495,0.0026,0.9657,0.0,0.4972,0.0,0.12
14076,0.1496,-0.0041,0.9653,0.0,0.5198,0.0,0.1152
14093,0.1535,-0.0094,0.9683,0.0,0.5923,0.0,0.1732
14109,0.1641,-0.0117,0.9615,0.0,0.6487,0.0,0.2345
14126,0.1754,-0.018,0.9457,0.0,0.6124,0.0,0.2232
14142,0.171,-0.0186,0.9446,0.0,0.5343,0.0,0.1595
14159,0.1788,-0.0157,0.9618,0.0,0.4924,0.0,0.1104
14175,0.1737,-0.014,0.9508,0.0,0.5472,0.0,0.1329
14191,0.1757,-0.0157,0.9531,0.0,0.6237,0.0,0.1974
14208,0.1691,-0.0163,0.9557,0.0,0.6439,0.0,0.2361
14224,0.163,-0.0105,0.9635,0.0,0.5874,0.0,0.2022
14241,0.1666,-0.0119,0.9656,0.0,0.502,0.0,0.1305
14257,0.1614,-0.0027,0.9549,0.0,0.498,0.0,0.1072
14274,0.1659,-0.0103,0.9593,0.0,0.5745,0.0,0.1587
14290,0.164,-0.009,0.9553,0.0,0.6423,0.0,0.2224
14306,0.1585,-0.0069,0.9636,0.0,0.6246,0.0,0.2281
14323,0.1549,-0.0104,0.9624,0.0,0.5415,0.0,0.1676
14339,0.1506,-0.0139,0.9658,0.0,0.494,0.0,0.1104
14355,0.1437,-0.0047,0.9666,0.0,0.5399,0.0,0.1273
14372,0.1525,-0.0111,0.9726,0.0,0.6148,0.0,0.1845
14388,0.1578,0.0035,0.9606,0.0,0.6479,0.0,0.2353
14405,0.1617,-0.0152,0.9637,0.0,0.5995,0.0,0.2103
14421,0.1613,-0.0168,0.9595,0.0,0.502,0.0,0.1281
14437,0.1608,-0.0033,0.9567,0.0,0.5004,0.0,0.1031
14454,0.1727,-0.0031,0.9487,0.0,0.5834,0.0,0.1603
14470,0.1654,-0.0086,0.9617,0.0,0.6439,0.0,0.2176
14486,0.1701,-0.0231,0.9739,0.0,0.6358,0.0,0.2361
14503,0.166,-0.0168,0.9518,0.0,0.5544,0.0,0.1756
14519,0.1684,-0.0258,0.9543,0.0,0.498,0.0,0.1136
14536,0.184,-0.0204,0.9507,0.0,0.5343,0.0,0.12
14552,0.1793,-0.0152,0.953,0.0,0.61,0.0,0.1829
14569,0.1678,-0.0174,0.9665,0.0,0.6487,0.0,0.2297
14585,0.1613,-0.0191,0.9608,0.0,0.606,0.0,0.216
14602,0.1601,-0.0175,0.9584,0.0,0.5246,0.0,0.1482
14618,0.1622,-0.0092,0.9615,0.0,0.4956,0.0,0.1023
14635,0.1637,-0.0087,0.9634,0.0,0.56,0.0,0.1402
14651,0.1575,-0.0027,0.9517,0.0,0.6326,0.0,0.2006
14667,0.1686,-0.0115,0.9497,0.0,0.6471,0.0,0.2369
14684,0.1535,-0.0153,0.9666,0.0,0.5762,0.0,0.1909
14700,0.1592,-0.0055,0.9591,0.0,0.5004,0.0,0.1217
14717,0.1542,-0.0034,0.9716,0.0,0.5085,0.0,0.1104
14733,0.1571,-0.0009,0.9592,0.0,0.5995,0.0,0.1756
14749,0.1546,-0.0113,0.9623,0.0,0.6471,0.0,0.2216
14766,0.1632,-0.0163,0.9593,0.0,0.6132,0.0,0.2152
14782,0.1582,-0.0056,0.961,0.0,0.5327,0.0,0.1499
14799,0.1589,-0.0084,0.9573,0.0,0.4891,0.0,0.108
14815,0.1657,-0.0142,0.9641,0.0,0.5472,0.0,0.1313
14831,0.1701,-0.0141,0.9544,0.0,0.6246,0.0,0.1918
14848,0.1669,-0.0046,0.9494,0.0,0.6495,0.0,0.2401
14864,0.1747,-0.0032,0.9703,0.0,0.5858,0.0,0.1998
14881,0.1548,0.0007,0.9655,0.0,0.502,0.0,0.1249
14897,0.1639,-0.0163,0.9512,0.0,0.5149,0.0,0.1112
14913,0.1588,-0.004,0.9596,0.0,0.5891,0.0,0.1644
14930,0.1539,-0.0015,0.9708,0.0,0.6487,0.0,0.2248
14946,0.1517,-0.0111,0.9627,0.0,0.6278,0.0,0.224
14962,0.1576,0.0018,0.9592,0.0,0.5447,0.0,0.1668
14979,0.1567,-0.0019,0.9662,0.0,0.4924,0.0,0.1072
14995,0.1529,-0.0133,0.9596,0.0,0.5407,0.0,0.1281
15012,0.167,-0.0081,0.9513,0.0,0.614,0.0,0.1877
15028,0.1556,-0.0014,0.9696,0.0012,0.6415,0.0,0.2393
15044,0.1573,0.0088,0.9626,0.0,0.5794,0.0,0.1958
15061,0.1463,-0.0012,0.9638,0.0,0.5004,0.0,0.1249
15077,0.1572,-0.008,0.9672,0.0,0.5069,0.0,0.1063
15094,0.1794,-0.0204,0.9545,0.0,0.5826,0.0,0.1595
15110,0.1581,0.0641,0.9888,0.0,0.6423,0.0,0.2176
15126,0.1508,0.0144,0.946,0.0,0.6342,0.0,0.2313
15143,0.1737,0.0005,0.9571,0.0,0.552,0.0,0.1764
15159,0.159,-0.0037,0.9638,0.0,0.4932,0.0,0.1128
15176,0.1675,-0.0002,0.9516,0.0,0.531,0.0,0.1192
15192,0.1764,0.0129,0.9526,0.0,0.6084,0.0,0.1797
15209,0.1658,-0.0138,0.9578,0.0,0.6479,0.0,0.2273
15226,0.1581,0.0002,0.9703,0.0,0.6326,0.0,0.2289
15243,0.158,-0.0072,0.9556,0.0,0.5512,0.0,0.174
15259,0.1586,-0.0101,0.9601,0.0085,0.4916,0.0,0.1023
15275,0.1817,-0.0239,0.9485,0.0,0.5463,0.0,0.1249
15292,0.1766,-0.0037,0.9433,0.0,0.6189,0.0,0.1909
15308,0.1916,-0.0325,0.9522,0.0,0.6536,0.0,0.2385
15325,0.1693,0.0235,0.9616,0.0,0.5923,0.0,0.2006
15341,0.1591,0.0418,0.9649,0.0,0.5077,0.0,0.1313
15357,0.1547,-0.0575,0.9601,0.0,0.4988,0.0,0.1007
15374,0.1513,0.0328,0.9753,0.0,0.5794,0.0,0.1523
15390,0.1735,0.0634,0.9699,0.0,0.6415,0.0,0.2184
15407,0.1644,-0.0233,0.9353,0.0,0.6382,0.0,0.2313
15423,0.1806,0.0171,0.9808,0.0,0.5617,0.0,0.1829
15440,0.1452,-0.0087,0.9601,0.0,0.4972,0.0,0.1184
15456,0.1432,-0.001,0.9672,0.0,0.5278,0.0,0.1184
15473,0.1543,-0.0102,0.9753,0.0,0.6019,0.0,0.1724
15489,0.1564,-0.0043,0.9572,0.0,0.6487,0.0,0.2264
15505,0.1634,-0.0072,0.9567,0.0,0.61,0.0,0.2224
15522,0.1645,-0.0088,0.956,0.0,0.5262,0.0,0.1531
15538,0.1638,-0.0117,0.9595,0.0,0.4875,0.0,0.108
15555,0.1761,-0.0129,0.9563,0.0,0.5488,0.0,0.1345
15571,0.1703,-0.0107,0.9462,0.0,0.6262,0.0,0.2022
15588,0.1615,-0.0047,0.9629,0.0,0.6447,0.0,0.2337
15604,0.161,-0.0208,0.9583,0.0,0.5778,0.0,0.1982
15621,0.1639,-0.0057,0.9522,0.0,0.498,0.0,0.1281
15637,0.1385,-0.0116,0.9629,0.0,0.5004,0.0,0.1023
15654,0.1689,-0.0017,0.9617,0.0,0.5794,0.0,0.1611
15670,0.1671,-0.0293,0.9436,0.0,0.6407,0.0,0.2232
15687,0.1601,-0.0071,0.9583,0.0,0.6294,0.0,0.2345
15703,0.1467,-0.0378,0.9807,0.0,0.5504,0.0,0.1764
15719,0.1667,-0.0106,0.9718,0.0,0.4932,0.0,0.1136
15736,0.1557,-0.017,0.946,0.0,0.5262,0.0,0.1233
15752,0.1441,-0.018,0.9655,0.0,0.6027,0.0,0.1732
15769,0.1563,-0.0154,0.9713,0.0,0.6479,0.0,0.2305
15785,0.1484,-0.0145,0.9511,0.0,0.5907,0.0,0.2038
