t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
24446,0.2474,-0.1638,0.9254,0.0,0.5633,0.0,0.1829
24461,0.2485,-0.1621,0.9286,0.0,0.4964,0.0,0.1144
24476,0.245,-0.1585,0.9283,0.0,0.5625,0.0,0.1394
24739,0.2532,-0.1663,0.9241,0.0,0.5754,0.0,0.1072
24756,0.2463,-0.1655,0.9243,0.0,0.635,0.0,0.1458
24772,0.2511,-0.1667,0.9306,0.0,0.6874,0.0,0.2038
24789,0.248,-0.1677,0.9241,0.0,0.6681,0.0,0.2256
24805,0.2485,-0.1698,0.9311,0.0,0.5971,0.0,0.1756
24821,0.2562,-0.1747,0.9245,0.0,0.5262,0.0,0.112
24838,0.2548,-0.1758,0.9296,0.0,0.5633,0.0,0.1233
24854,0.2487,-0.1699,0.9266,0.0,0.635,0.0,0.1764
24870,0.2562,-0.1626,0.9209,0.0,0.6664,0.0,0.2224
24887,0.254,-0.1669,0.9118,0.0,0.6237,0.0,0.203
24903,0.2381,-0.1637,0.9365,0.0,0.5327,0.0,0.1378
24920,0.236,-0.1657,0.9404,0.0,0.5093,0.0,0.1063
24936,0.2255,-0.167,0.9471,0.0,0.5745,0.0,0.1402
24953,0.2422,-0.1735,0.931,0.0,0.6431,0.0,0.1974
24969,0.2602,-0.1601,0.9099,0.0,0.6447,0.0,0.2256
24985,0.2349,-0.162,0.9525,0.0,0.5633,0.0,0.1764
25002,0.2489,-0.1726,0.9281,0.0,0.5004,0.0,0.1184
25018,0.2577,-0.1661,0.919,0.0,0.531,0.0,0.116
25034,0.2567,-0.1644,0.9184,0.0,0.6027,0.0,0.1684
25051,0.2535,-0.166,0.9242,0.0,0.6423,0.0,0.2184
25067,0.2424,-0.1636,0.9322,0.0,0.6052,0.0,0.2054
25084,0.2438,-0.1621,0.9316,0.0,0.5278,0.0,0.1499
25100,0.244,-0.17,0.9267,0.0,0.4924,0.0,0.1007
25116,0.2602,-0.1705,0.9222,0.0,0.5584,0.0,0.1394
25133,0.254,-0.1656,0.9196,0.0,0.6302,0.0,0.1998
25149,0.2536,-0.1644,0.9231,0.0,0.6382,0.0,0.2281
25165,0.2471,-0.1632,0.9271,0.0,0.5665,0.0,0.1877
25182,0.2514,-0.1642,0.9267,0.0,0.502,0.0,0.1184
25198,0.2495,-0.1669,0.9215,0.0,0.5246,0.0,0.1136
25215,0.2524,-0.1682,0.9231,0.0,0.5955,0.0,0.1627
25231,0.2483,-0.17,0.9253,0.0,0.6439,0.0,0.2152
25247,0.2472,-0.1677,0.9281,0.0,0.6116,0.0,0.2136
25264,0.2482,-0.1655,0.9272,0.0,0.5246,0.0,0.1491
25280,0.2423,-0.1648,0.9276,0.0,0.4964,0.0,0.1055
25296,0.2495,-0.1639,0.9226,0.0,0.5584,0.0,0.1329
25313,0.2459,-0.1615,0.9312,0.0,0.631,0.0,0.1958
25329,0.2447,-0.1664,0.9266,0.0,0.6471,0.0,0.2264
25346,0.2464,-0.1639,0.9291,0.0,0.5842,0.0,0.1926
25362,0.2402,-0.166,0.9299,0.0,0.5061,0.0,0.1209
25379,0.2497,-0.1628,0.9288,0.0,0.5117,0.0,0.1096
25395,0.2543,-0.1683,0.9168,0.0,0.5858,0.0,0.1523
25412,0.2631,-0.1693,0.9171,0.0,0.6374,0.0,0.2087
25428,0.2518,-0.168,0.9207,0.0,0.627,0.0,0.2216
25445,0.2481,-0.1699,0.9265,0.0,0.5568,0.0,0.1636
25461,0.2393,-0.1707,0.9291,0.0,0.4988,0.0,0.1136
25477,0.249,-0.1599,0.9408,0.0,0.5375,0.0,0.12
25494,0.241,-0.1667,0.9209,0.0,0.61,0.0,0.1756
25510,0.2523,-0.1717,0.926,0.0,0.6471,0.0,0.2232
25527,0.2558,-0.161,0.9244,0.0,0.5987,0.0,0.199
25543,0.2536,-0.162,0.9265,0.0,0.5198,0.0,0.137
25559,0.2504,-0.1713,0.9283,0.0,0.5004,0.0,0.1007
25576,0.2514,-0.1652,0.9177,0.0,0.5673,0.0,0.1491
25592,0.2482,-0.1788,0.9255,0.0,0.6358,0.0,0.2054
25610,0.2534,-0.1633,0.9251,0.0,0.6487,0.0,0.2313
25626,0.2423,-0.1877,0.9422,0.0,0.5858,0.0,0.1958
25642,0.242,-0.1666,0.9301,0.0,0.5012,0.0,0.1265
25659,0.2452,-0.1598,0.9262,0.0,0.502,0.0,0.1015
25675,0.2489,-0.1591,0.9244,0.0,0.5729,0.0,0.1458
25692,0.245,-0.1806,0.9425,0.0,0.635,0.0,0.2103
25708,0.2499,-0.1649,0.9284,0.0,0.6278,0.0,0.2248
25725,0.2537,-0.1733,0.9303,0.0,0.5536,0.0,0.174
25741,0.2492,-0.1697,0.9254,0.0,0.4972,0.0,0.1152
25758,0.2523,-0.1591,0.9326,0.0,0.5262,0.0,0.1168
25774,0.2454,-0.1697,0.9094,0.0,0.6052,0.0,0.1692
25791,0.243,-0.1655,0.9314,0.0,0.6447,0.0,0.2152
25807,0.2483,-0.1769,0.9392,0.0,0.61,0.0,0.2136
25823,0.2424,-0.1697,0.9217,0.0,0.5327,0.0,0.1499
25840,0.2529,-0.1731,0.9297,0.0,0.4924,0.0,0.1063
25856,0.2379,-0.164,0.9302,0.0,0.552,0.0,0.1329
25873,0.2458,-0.168,0.9322,0.0,0.6246,0.0,0.1893
25889,0.2469,-0.1652,0.931,0.0,0.6423,0.0,0.2281
25906,0.24,-0.1666,0.9296,0.0,0.5826,0.0,0.1918
25922,0.2464,-0.1636,0.926,0.0,0.4972,0.0,0.1249
25939,0.2513,-0.1635,0.9167,0.0,0.5069,0.0,0.1088
25955,0.249,-0.158,0.927,0.0,0.5786,0.0,0.1539
25972,0.2503,-0.1656,0.9309,0.0,0.6342,0.0,0.2103
25988,0.2491,-0.1665,0.9223,0.0,0.6246,0.0,0.2232
26004,0.2407,-0.1658,0.939,0.0,0.5512,0.0,0.1716
26021,0.2531,-0.162,0.9173,0.0,0.498,0.0,0.112
26037,0.2432,-0.1652,0.9295,0.0,0.531,0.0,0.1128
26054,0.2509,-0.1653,0.9333,0.0,0.6027,0.0,0.1756
26070,0.2488,-0.1637,0.9185,0.0,0.6334,0.0,0.2232
26086,0.2597,-0.1634,0.9211,0.0,0.5907,0.0,0.2022
26103,0.2523,-0.1702,0.9243,0.0,0.5061,0.0,0.1329
26119,0.2589,-0.1627,0.9202,0.0,0.4988,0.0,0.1072
26135,0.2501,-0.1694,0.928,0.0,0.5657,0.0,0.1466
26152,0.2507,-0.1642,0.9244,0.0,0.6326,0.0,0.2054
26168,0.2534,-0.1663,0.9229,0.0,0.6334,0.0,0.2273
26185,0.2476,-0.1658,0.924,0.0,0.5625,0.0,0.1781
26201,0.2589,-0.1655,0.9257,0.0,0.4956,0.0,0.1136
26217,0.2524,-0.1593,0.915,0.0,0.5327,0.0,0.1217
26234,0.2505,-0.1724,0.9243,0.0,0.6019,0.0,0.1748
26250,0.2391,-0.1638,0.9428,0.0,0.6431,0.0,0.2232
26266,0.2397,-0.1674,0.9267,0.0,0.5971,0.0,0.2006
26283,0.2605,-0.1682,0.9227,0.0024,0.5214,0.0,0.145
26299,0.2527,-0.1731,0.9184,0.0,0.4916,0.0,0.0999
26316,0.2563,-0.1661,0.9197,0.0,0.56,0.0,0.1378
26332,0.2519,-0.1644,0.9294,0.0,0.631,0.0,0.1966
26349,0.2493,-0.1748,0.9266,0.0,0.6399,0.0,0.2264
26365,0.2477,-0.1713,0.9194,0.0,0.5745,0.0,0.1853
26382,0.2507,-0.1705,0.9141,0.0,0.4996,0.0,0.1209
26398,0.2442,-0.1684,0.9365,0.0,0.5077,0.0,0.1072
26415,0.2495,-0.1728,0.9256,0.0,0.5842,0.0,0.1531
26431,0.2532,-0.1708,0.9221,0.0,0.6374,0.0,0.2127
26447,0.2525,-0.1692,0.9225,0.0,0.6246,0.0,0.2216
26464,0.2511,-0.1677,0.9237,0.0,0.5447,0.0,0.166
26480,0.2501,-0.1674,0.928,0.0,0.4924,0.006,0.1112
26497,0.2483,-0.1671,0.9256,0.0,0.5335,0.0,0.1217
26513,0.2491,-0.1663,0.9245,0.0,0.6027,0.0,0.1756
26529,0.2468,-0.1658,0.9283,0.0,0.6358,0.0,0.2264
26546,0.2426,-0.1663,0.9272,0.0,0.5818,0.0,0.1926
26562,0.2555,-0.1707,0.9205,0.0,0.5012,0.0,0.1281
26578,0.2515,-0.1675,0.9212,0.0,0.5012,0.0,0.1031
26595,0.2527,-0.1699,0.9176,0.0,0.5737,0.0,0.1499
26611,0.2563,-0.1629,0.9221,0.0,0.6342,0.0,0.2054
26628,0.2472,-0.1619,0.9304,0.0,0.6278,0.0,0.2256
26644,0.2421,-0.1648,0.9277,0.0,0.5568,0.0,0.1748
26660,0.2361,-0.162,0.9367,0.0,0.4932,0.0,0.1112
26677,0.2517,-0.1787,0.9141,0.0,0.5391,0.0,0.1257
26693,0.2546,-0.1818,0.9157,0.0,0.6052,0.0,0.1781
26711,0.258,-0.1672,0.9225,0.0,0.6262,0.0,0.2119
26727,0.2479,-0.1649,0.9227,0.0,0.6164,0.0,0.2144
26744,0.2441,-0.1657,0.935,0.0,0.5391,0.0,0.1587
26760,0.2483,-0.1691,0.9282,0.0,0.4956,0.0,0.112
26777,0.2548,-0.1701,0.9219,0.0,0.5375,0.0,0.1241
26793,0.2555,-0.1682,0.9249,0.0,0.606,0.0,0.1813
26809,0.2552,-0.1705,0.9215,0.0,0.6487,0.0,0.2256
26826,0.2521,-0.1709,0.9274,0.0,0.5979,0.0,0.1958
26842,0.2529,-0.1682,0.9216,0.0,0.5133,0.0,0.1394
26859,0.2483,-0.1708,0.9264,0.0,0.4988,0.0,0.1072
26875,0.2469,-0.1722,0.9263,0.0,0.5665,0.0,0.141
26891,0.2497,-0.1736,0.9241,0.0,0.6382,0.0,0.2038
26908,0.2527,-0.1727,0.923,0.0,0.6278,0.0,0.2216
26924,0.2544,-0.1707,0.9236,0.0,0.5576,0.0,0.1716
26940,0.2526,-0.1718,0.9218,0.0,0.4956,0.0,0.1136
26957,0.2562,-0.1722,0.9262,0.0,0.5278,0.0,0.1152
26973,0.2512,-0.173,0.9202,0.0,0.5987,0.0,0.1708
26990,0.2586,-0.1708,0.9257,0.0,0.6415,0.0,0.2224
27006,0.2488,-0.1749,0.9237,0.0,0.6084,0.0,0.2054
27023,0.2522,-0.1717,0.928,0.0,0.5254,0.0,0.1442
27039,0.2553,-0.1791,0.9201,0.0,0.494,0.0,0.0975
27056,0.2486,-0.1685,0.9219,0.0,0.5512,0.0,0.1265
27072,0.2435,-0.1713,0.9237,0.0,0.6262,0.0,0.1901
27089,0.2485,-0.1749,0.9229,0.0,0.6415,0.0,0.2264
27105,0.2495,-0.1725,0.9241,0.0,0.5818,0.0,0.1893
27122,0.2441,-0.1716,0.9269,0.0,0.5004,0.0,0.1265
27138,0.2497,-0.1696,0.9294,0.0,0.5093,0.0,0.1007
27154,0.2525,-0.1753,0.922,0.0,0.5794,0.0,0.1507
27171,0.2515,-0.1734,0.9212,0.0,0.6423,0.0,0.2014
27187,0.2553,-0.1746,0.9224,0.0,0.6294,0.0,0.224
27204,0.2495,-0.1695,0.9261,0.0,0.552,0.0,0.17
27220,0.2477,-0.1704,0.9263,0.0,0.4972,0.0,0.112
27236,0.2471,-0.1708,0.9272,0.0,0.5407,0.0,0.1354
27253,0.2507,-0.172,0.9231,0.0,0.6052,0.0,0.1845
27269,0.2609,-0.1761,0.9165,0.0,0.6471,0.0,0.2232
27285,0.2637,-0.1782,0.9111,0.0,0.5947,0.0,0.2054
27302,0.2601,-0.1745,0.9146,0.0,0.5101,0.0,0.1265
27318,0.2446,-0.1657,0.9314,0.0,0.4996,0.0,0.1072
27335,0.2367,-0.1622,0.9383,0.0,0.5665,0.0,0.1418
27351,0.2434,-0.1685,0.9305,0.0,0.635,0.0,0.2022
27367,0.2538,-0.1749,0.9183,0.0,0.6164,0.0,0.2144
27384,0.2594,-0.177,0.917,0.0,0.5463,0.0,0.17
27400,0.2573,-0.1783,0.9174,0.0,0.49,0.0,0.1168
27416,0.2451,-0.1693,0.9265,0.0,0.5351,0.0,0.1184
27433,0.2439,-0.1676,0.9342,0.0,0.6019,0.0,0.1732
27449,0.24,-0.1659,0.9301,0.0,0.6415,0.0,0.2224
27466,0.2511,-0.17,0.9253,0.0,0.5979,0.0,0.2022
27482,0.2566,-0.1778,0.9218,0.0,0.5125,0.0,0.1394
27499,0.2527,-0.17,0.9168,0.0,0.4908,0.0,0.0975
27515,0.2478,-0.173,0.9175,0.0,0.5536,0.0,0.1378
27532,0.2401,-0.1667,0.9401,0.0,0.6294,0.0,0.1934
27548,0.2499,-0.1743,0.9253,0.0,0.6439,0.0,0.2256
27565,0.2528,-0.1795,0.924,0.0,0.5673,0.0,0.1845
27581,0.2556,-0.1732,0.9149,0.0,0.4996,0.0,0.1225
27597,0.2624,-0.1789,0.9133,0.0,0.5093,0.0,0.1088
