t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
1690415,0.253,0.0571,0.9367,0.0,0.5923,0.0,0.199
1690430,0.2647,0.0908,0.9347,0.0,0.5544,0.0,0.1636
1690445,0.2539,0.0844,0.9363,0.0,0.5246,0.0,0.1007
1690725,0.2513,0.0686,0.9297,0.0,0.5939,0.0,0.0975
1690741,0.2512,0.0719,0.9309,0.0,0.6036,0.0,0.1217
1690758,0.2505,0.0813,0.9368,0.0,0.6262,0.0,0.1756
1690774,0.2527,0.0874,0.9362,0.0,0.6172,0.0,0.2006
1690791,0.2512,0.0803,0.9364,0.0,0.5866,0.0,0.1732
1690807,0.2487,0.0836,0.9369,0.0,0.5439,0.0,0.1217
1690823,0.2508,0.0834,0.9355,0.0,0.5488,0.0,0.1072
1690840,0.2605,0.0776,0.9312,0.0,0.5834,0.0,0.1394
1690856,0.2616,0.075,0.9328,0.0,0.6044,0.0,0.1885
1690873,0.2642,0.0764,0.9256,0.0,0.5963,0.0,0.1918
1690889,0.2586,0.067,0.9296,0.0,0.5625,0.0,0.1579
1690906,0.247,0.0845,0.945,0.0,0.5351,0.0,0.108
1690922,0.246,0.0954,0.9368,0.0,0.56,0.0,0.1233
1690938,0.2445,0.0824,0.9488,0.0,0.5915,0.0,0.1652
1690954,0.2458,0.1018,0.9433,0.0,0.6003,0.0,0.1998
1690971,0.253,0.0746,0.9449,0.0,0.5762,0.0,0.1748
1690987,0.2568,0.095,0.9286,0.0,0.5351,0.0,0.1233
1691004,0.2484,0.0734,0.9428,0.0,0.5359,0.0,0.0983
1691020,0.2606,0.0868,0.9336,0.0,0.5649,0.0,0.1386
1691037,0.2579,0.082,0.9347,0.0,0.5979,0.0,0.1845
1691053,0.2559,0.0785,0.9351,0.0,0.5955,0.0,0.1934
1691070,0.2585,0.0833,0.9314,0.0,0.5576,0.0,0.1603
1691086,0.2547,0.0804,0.9302,0.0,0.5343,0.0,0.1128
1691102,0.2512,0.0677,0.9312,0.0,0.5472,0.0,0.1128
1691119,0.2528,0.0759,0.9379,0.0,0.581,0.0,0.1547
1691135,0.2546,0.0881,0.9294,0.0,0.5995,0.0,0.195
1691152,0.2562,0.0879,0.9328,0.0,0.5818,0.0,0.1869
1691168,0.2548,0.0786,0.9406,0.0,0.5447,0.0,0.1394
1691185,0.2506,0.0757,0.9312,0.0,0.5278,0.0,0.0999
1691201,0.2493,0.0951,0.9389,0.0,0.556,0.0,0.1233
1691218,0.2536,0.0844,0.9451,0.0,0.5874,0.0,0.1716
1691234,0.2512,0.0735,0.9256,0.0,0.5955,0.0,0.2006
1691250,0.2532,0.094,0.9411,0.0,0.5625,0.0,0.1684
1691267,0.2574,0.0608,0.9351,0.0,0.5318,0.0,0.1184
1691283,0.2512,0.085,0.9303,0.0,0.5335,0.0,0.1055
