t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
1490945,0.03,-0.03,0.9734,0.0,0.6278,0.0,0.1974
1490960,0.0296,-0.0303,0.9729,0.0,0.4948,0.0,0.1249
1490976,0.029,-0.0304,0.9728,0.0,0.4932,0.0,0.0878
1491258,0.0304,-0.0293,0.9759,0.0,0.5343,0.0,0.1015
1491275,0.0287,-0.0299,0.9725,0.0,0.5617,0.0,0.0935
1491291,0.03,-0.03,0.9729,0.0,0.6479,0.0,0.141
1491308,0.0298,-0.0298,0.9748,0.0,0.7019,0.0,0.1974
1491324,0.0282,-0.0305,0.9713,0.0,0.6399,0.0,0.1958
1491341,0.029,-0.0305,0.9743,0.0,0.5246,0.0,0.1394
1491357,0.0303,-0.0297,0.975,0.0,0.473,0.0,0.0862
1491373,0.0297,-0.0308,0.9714,0.0,0.5504,0.0,0.1088
1491390,0.0282,-0.0296,0.9755,0.0,0.6519,0.0,0.1692
1491406,0.0287,-0.03,0.9727,0.0,0.6793,0.0,0.2119
1491422,0.0288,-0.0296,0.9752,0.0,0.5665,0.0,0.1668
1491439,0.0289,-0.031,0.9718,0.0,0.4763,0.0,0.1023
1491455,0.0291,-0.0299,0.9746,0.0,0.498,0.0,0.0878
1491472,0.0288,-0.0299,0.9727,0.0,0.5963,0.0,0.1386
1491488,0.0289,-0.0289,0.9743,0.0,0.6793,0.0,0.1934
1491505,0.0281,-0.0287,0.9719,0.0,0.6399,0.0,0.2014
1491521,0.0284,-0.0292,0.974,0.0,0.5133,0.0,0.145
1491537,0.0275,-0.0293,0.975,0.0,0.4456,0.0,0.083
1491554,0.0281,-0.0304,0.9732,0.0,0.5294,0.0,0.0967
1491570,0.0279,-0.03,0.9749,0.0,0.6487,0.0,0.1619
1491587,0.0272,-0.0302,0.971,0.0,0.6987,0.0,0.2095
1491603,0.0276,-0.0285,0.9729,0.0,0.6036,0.0,0.1869
1491620,0.028,-0.031,0.9766,0.0,0.4891,0.0,0.1192
1491636,0.0279,-0.0299,0.9761,0.0,0.4827,0.0,0.087
1491653,0.0284,-0.0295,0.9695,0.0,0.5721,0.0,0.12
1491669,0.0287,-0.0287,0.9772,0.0,0.6536,0.0,0.1781
1491685,0.0289,-0.0291,0.9722,0.0,0.6544,0.0,0.2111
1491702,0.0278,-0.0297,0.9742,0.0,0.5584,0.0,0.1652
1491718,0.0278,-0.0297,0.9737,0.0,0.4714,0.0,0.1007
1491735,0.029,-0.029,0.9715,0.0,0.5085,0.0,0.0959
1491751,0.0285,-0.0288,0.9761,0.0,0.6084,0.0,0.1394
1491768,0.0272,-0.0301,0.9731,0.0,0.6769,0.0,0.199
1491784,0.0292,-0.029,0.9755,0.0,0.6286,0.0,0.1958
1491801,0.0283,-0.0305,0.9719,0.0,0.5246,0.0,0.1394
1491817,0.0289,-0.0304,0.9749,0.0,0.4666,0.0,0.0838
1491834,0.0287,-0.0303,0.9721,0.0,0.5455,0.0,0.1023
1491851,0.0278,-0.0301,0.9732,0.0,0.6052,0.0,0.1442
1491868,0.0283,-0.0287,0.9758,0.0,0.66,0.0,0.1926
1491884,0.0286,-0.0301,0.9728,0.0,0.6246,0.0,0.1918
1491901,0.0285,-0.0303,0.974,0.0,0.5222,0.0,0.1378
1491917,0.0291,-0.0291,0.9731,0.0,0.4746,0.0,0.0894
1491934,0.0289,-0.0302,0.9729,0.0,0.5383,0.0,0.1007
1491950,0.0273,-0.0295,0.9739,0.0,0.631,0.0,0.1652
1491967,0.0282,-0.0292,0.9738,0.0,0.66,0.0,0.203
1491983,0.0276,-0.0297,0.9741,0.0,0.5866,0.0,0.1772
1491999,0.0283,-0.0287,0.9729,0.0,0.4924,0.0,0.1136
1492016,0.0288,-0.0292,0.9731,0.0,0.4891,0.0,0.0862
1492032,0.0286,-0.029,0.9742,0.0,0.5673,0.0,0.1233
1492048,0.028,-0.0292,0.9739,0.0,0.6544,0.0,0.1869
1492065,0.0281,-0.0294,0.9742,0.0,0.6326,0.0,0.1942
1492081,0.0287,-0.0296,0.9731,0.0,0.5343,0.0,0.1474
1492098,0.0282,-0.0292,0.9738,0.0,0.473,0.0,0.0927
1492114,0.0287,-0.0291,0.9735,0.0,0.5318,0.0,0.0959
1492131,0.029,-0.0293,0.9736,0.0,0.6156,0.0,0.1523
1492147,0.0285,-0.0304,0.9732,0.0,0.6632,0.0,0.2022
1492163,0.0286,-0.0298,0.9741,0.0,0.5987,0.0,0.1877
1492180,0.0277,-0.0289,0.9745,0.0,0.494,0.0,0.1281
1492196,0.028,-0.0298,0.9724,0.0,0.4754,0.0,0.0846
1492212,0.0289,-0.0296,0.9747,0.0,0.5729,0.0,0.1257
1492229,0.0276,-0.0301,0.9732,0.0,0.6471,0.0,0.1829
1492245,0.0282,-0.0297,0.9718,0.0,0.6334,0.0,0.2006
1492262,0.0284,-0.0294,0.9741,0.0,0.5447,0.0,0.1539
1492278,0.0275,-0.0302,0.9749,0.0,0.4714,0.0,0.0967
1492295,0.0281,-0.0293,0.9737,0.0,0.519,0.0,0.0951
1492311,0.0284,-0.0288,0.9735,0.0,0.6036,0.0,0.1458
1492327,0.0279,-0.0298,0.9735,0.0,0.6608,0.0,0.2006
1492344,0.0283,-0.0293,0.9735,0.0,0.6084,0.0,0.1893
1492360,0.0283,-0.0307,0.9741,0.0,0.5101,0.0,0.1329
1492377,0.0281,-0.0293,0.9727,0.0,0.473,0.0,0.0878
1492393,0.0284,-0.0294,0.9723,0.0,0.552,0.0,0.1152
1492410,0.0282,-0.0298,0.9736,0.0,0.6374,0.0,0.1708
1492426,0.029,-0.0301,0.9726,0.0,0.6608,0.0,0.203
1492443,0.0286,-0.0292,0.9729,0.0,0.5745,0.0,0.1764
1492459,0.0281,-0.0289,0.9729,0.0,0.4835,0.0,0.1136
1492475,0.0285,-0.0299,0.9735,0.0,0.4924,0.0,0.0878
1492492,0.0281,-0.0297,0.974,0.0,0.5842,0.0,0.1289
1492508,0.0286,-0.03,0.9731,0.0,0.6495,0.0,0.1829
1492524,0.0281,-0.0307,0.9747,0.0,0.6189,0.0,0.1958
1492541,0.0279,-0.0291,0.973,0.0,0.5246,0.0,0.1394
1492557,0.0287,-0.029,0.9741,0.0,0.473,0.0,0.0878
1492574,0.0282,-0.0301,0.9713,0.0,0.5407,0.0,0.1007
1492590,0.0282,-0.0293,0.9749,0.0,0.6358,0.0,0.1636
1492607,0.028,-0.0294,0.9738,0.0,0.664,0.0,0.199
1492623,0.0279,-0.0304,0.9733,0.0,0.5907,0.0,0.1797
